cluster,variable,est,value,type,group
Total,bmi,mean,32.82433814054016,Continuous,NA
Total,bmi,sd,7.764659028842167,Continuous,NA
Total,bmi,median,32.4326375,Continuous,NA
Total,bmi,q25,30.174765473500003,Continuous,NA
Total,bmi,q75,37.950775,Continuous,NA
Total,bmi,min,13.695138501,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,722,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.569556786703601,Continuous,NA
Total,hba1c,sd,1.559746440047986,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7.1,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,722,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.5005540166204985,Continuous,NA
Total,cpeptidef,sd,1.9540231134428083,Continuous,NA
Total,cpeptidef,median,3.29,Continuous,NA
Total,cpeptidef,q25,2.0725,Continuous,NA
Total,cpeptidef,q75,4.6,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,722,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,113.29787626973241,Continuous,NA
Total,sbp,sd,11.791649350548344,Continuous,NA
Total,sbp,median,112.66666667,Continuous,NA
Total,sbp,q25,105.5,Continuous,NA
Total,sbp,q75,120.66666667,Continuous,NA
Total,sbp,min,81.333333333,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,722,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.6243305632482,Continuous,NA
Total,dbp,sd,9.657194358975897,Continuous,NA
Total,dbp,median,68.5,Continuous,NA
Total,dbp,q25,61.625,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,40,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,722,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,89.71468144044321,Continuous,NA
Total,ldlc,sd,27.20268059057932,Continuous,NA
Total,ldlc,median,87,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,106,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,722,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,40.69030470914127,Continuous,NA
Total,hdlc,sd,10.431704590141697,Continuous,NA
Total,hdlc,median,39,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,46,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,81,Continuous,NA
Total,hdlc,freq,722,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,153.9943181818182,Continuous,NA
Total,totalc,sd,35.00526230045494,Continuous,NA
Total,totalc,median,150.5,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,174,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,704,Continuous,NA
Total,totalc,missing,18,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,389,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,385,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,385,Continuous,NA
yIDD,bmi,mean,23.9580784381125,Continuous,NA
yIDD,bmi,sd,6.097135549782456,Continuous,NA
yIDD,bmi,median,22.740623231999997,Continuous,NA
yIDD,bmi,q25,18.93503374625,Continuous,NA
yIDD,bmi,q75,28.648285739500004,Continuous,NA
yIDD,bmi,min,13.695138501,Continuous,NA
yIDD,bmi,max,42.335498708,Continuous,NA
yIDD,bmi,freq,160,Continuous,NA
yIDD,bmi,missing,0,Continuous,NA
yIDD,hba1c,mean,7.612625,Continuous,NA
yIDD,hba1c,sd,1.9195107105521785,Continuous,NA
yIDD,hba1c,median,7.3,Continuous,NA
yIDD,hba1c,q25,6.3,Continuous,NA
yIDD,hba1c,q75,8.5,Continuous,NA
yIDD,hba1c,min,4.9,Continuous,NA
yIDD,hba1c,max,15,Continuous,NA
yIDD,hba1c,freq,160,Continuous,NA
yIDD,hba1c,missing,0,Continuous,NA
yIDD,cpeptidef,mean,1.5376125,Continuous,NA
yIDD,cpeptidef,sd,0.9610995929224626,Continuous,NA
yIDD,cpeptidef,median,1.3250000000000002,Continuous,NA
yIDD,cpeptidef,q25,0.8,Continuous,NA
yIDD,cpeptidef,q75,2.0325,Continuous,NA
yIDD,cpeptidef,min,0.05,Continuous,NA
yIDD,cpeptidef,max,5.36,Continuous,NA
yIDD,cpeptidef,freq,160,Continuous,NA
yIDD,cpeptidef,missing,0,Continuous,NA
